Regions;Elements;GWP_constr;GWP_op;CO2_net
C3;ST_BIOMASS;;;
C3;ST_SNG;;;
C3;CCGT_SUR;;;
C3;IND_COGEN_GAS;;;
C3;IND_COGEN_WOOD;;;
C3;IND_COGEN_WASTE;;;
C3;IND_BOILER_GAS;;;
C3;IND_BOILER_WOOD;0.0025474161556325596;;
C3;IND_BOILER_BIOWASTE;;;
C3;IND_BOILER_OIL;0.0002542744416172866;;
C3;IND_BOILER_COAL;;;
C3;IND_BOILER_WASTE;;;
C3;IND_DIRECT_ELEC;;;
C3;DHN_HP_ELEC;;;
C3;DHN_COGEN_GAS;;;
C3;DHN_COGEN_WOOD;;;
C3;DHN_COGEN_WASTE;;;
C3;DHN_BOILER_GAS;;;
C3;DHN_BOILER_WOOD;;;
C3;DHN_BOILER_OIL;;;
C3;DHN_DEEP_GEO;;;
C3;DHN_SOLAR;;;
C3;DEC_HP_ELEC;;;
C3;DEC_THHP_GAS;;;
C3;DEC_COGEN_GAS;;;
C3;DEC_COGEN_OIL;;;
C3;DEC_ADVCOGEN_GAS;;;
C3;DEC_ADVCOGEN_H2;;;
C3;DEC_BOILER_GAS;1.741385639400791e-05;;
C3;DEC_BOILER_WOOD;;;
C3;DEC_BOILER_OIL;;;
C3;DEC_SOLAR;0.19951206166184057;;
C3;DEC_DIRECT_ELEC;0.00036706424224469545;;
C3;DEC_ELEC_COLD;0.021458266579158936;;
C3;DEC_THHP_GAS_COLD;;;
C3;IND_ELEC_COLD;;;
C3;TRAMWAY_TROLLEY;;;
C3;BUS_COACH_DIESEL;;;
C3;BUS_COACH_HYDIESEL;;;
C3;BUS_COACH_CNG_STOICH;;;
C3;BUS_COACH_FC_HYBRIDH2;;;
C3;TRAIN_PUB;;;
C3;PLANE_SHORT_HAUL;;;
C3;PLANE_H2_SHORT_HAUL;;;
C3;PLANE_LONG_HAUL;;;
C3;CAR_GASOLINE;;;
C3;CAR_DIESEL;;;
C3;CAR_NG;;;
C3;CAR_METHANOL;;;
C3;CAR_HEV;;;
C3;CAR_PHEV;;;
C3;CAR_BEV;;;
C3;CAR_FUEL_CELL;;;
C3;TRAIN_FREIGHT;;;
C3;BOAT_FREIGHT_DIESEL;;;
C3;BOAT_FREIGHT_NG;;;
C3;BOAT_FREIGHT_METHANOL;;;
C3;CARGO_LFO;;;
C3;CARGO_LNG;;;
C3;CARGO_METHANOL;;;
C3;CARGO_AMMONIA;;;
C3;CARGO_FUELCELL_LH2;;;
C3;CARGO_FUELCELL_AMMONIA;;;
C3;CARGO_RETRO_METHANOL;;;
C3;CARGO_RETRO_AMMONIA;;;
C3;TRUCK_DIESEL;;;
C3;TRUCK_METHANOL;;;
C3;TRUCK_FUEL_CELL;;;
C3;TRUCK_ELEC;;;
C3;TRUCK_NG;;;
C3;EFFICIENCY;;;
C3;DHN;;;
C3;GRID;;;
C3;HVAC_LINE;;;
C3;HVDC_SUBSEA;;;
C3;GAS_PIPELINE;;;
C3;GAS_SUBSEA;;;
C3;H2_RETROFITTED;;;
C3;H2_NEW;;;
C3;H2_SUBSEA_RETRO;;;
C3;H2_SUBSEA_NEW;;;
C3;H2_ELECTROLYSIS;;;
C3;H2_NG;;;
C3;H2_BIOMASS;;;
C3;BIOMASS_TO_METHANE;;;
