Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
AMMONIA;SA-BN;SA-BN;14;6;;;
AMMONIA;SA-BN;SA-BN;14;7;;;
AMMONIA;SA-BN;SA-BN;14;8;;;
AMMONIA;SA-BN;SA-BN;14;9;;;
AMMONIA;SA-BN;SA-BN;14;10;;;
AMMONIA;SA-BN;SA-BN;14;11;;;
AMMONIA;SA-BN;SA-BN;14;12;;;
AMMONIA;SA-BN;SA-BN;14;13;;;
AMMONIA;SA-BN;SA-BN;14;14;;;
AMMONIA;SA-BN;SA-BN;14;15;;;
AMMONIA;SA-BN;SA-BN;14;16;;;
AMMONIA;SA-BN;SA-BN;14;17;;;
AMMONIA;SA-BN;SA-BN;14;18;;;
AMMONIA;SA-BN;SA-BN;14;19;;;
AMMONIA;SA-BN;SA-BN;14;20;;;
AMMONIA;SA-BN;SA-BN;14;21;;;
AMMONIA;SA-BN;SA-BN;14;22;;;
AMMONIA;SA-BN;SA-BN;14;23;;;
AMMONIA;SA-BN;SA-BN;14;24;;;
AMMONIA;SA-BN;SA-BN;15;1;;;
AMMONIA;SA-BN;SA-BN;15;2;;;
AMMONIA;SA-BN;SA-BN;15;3;;;
AMMONIA;SA-BN;SA-BN;15;4;;;
AMMONIA;SA-BN;SA-BN;15;5;;;
AMMONIA;SA-BN;SA-BN;15;6;;;
AMMONIA;SA-BN;SA-BN;15;7;;;
AMMONIA;SA-BN;SA-BN;15;8;;;
AMMONIA;SA-BN;SA-BN;15;9;;;
AMMONIA;SA-BN;SA-BN;15;10;;;
AMMONIA;SA-BN;SA-BN;15;11;;;
AMMONIA;SA-BN;SA-BN;15;12;;;
AMMONIA;SA-BN;SA-BN;15;13;;;
AMMONIA;SA-BN;SA-BN;15;14;;;
AMMONIA;SA-BN;SA-BN;15;15;;;
AMMONIA;SA-BN;SA-BN;15;16;;;
AMMONIA;SA-BN;SA-BN;15;17;;;
AMMONIA;SA-BN;SA-BN;15;18;;;
AMMONIA;SA-BN;SA-BN;15;19;;;
AMMONIA;SA-BN;SA-BN;15;20;;;
AMMONIA;SA-BN;SA-BN;15;21;;;
AMMONIA;SA-BN;SA-BN;15;22;;;
AMMONIA;SA-BN;SA-BN;15;23;;;
AMMONIA;SA-BN;SA-BN;15;24;;;
AMMONIA;SA-BN;SA-BN;16;1;;;
AMMONIA;SA-BN;SA-BN;16;2;;;
AMMONIA;SA-BN;SA-BN;16;3;;;
AMMONIA;SA-BN;SA-BN;16;4;;;
AMMONIA;SA-BN;SA-BN;16;5;;;
AMMONIA;SA-BN;SA-BN;16;6;;;
AMMONIA;SA-BN;SA-BN;16;7;;;
AMMONIA;SA-BN;SA-BN;16;8;;;
AMMONIA;SA-BN;SA-BN;16;9;;;
AMMONIA;SA-BN;SA-BN;16;10;;;
AMMONIA;SA-BN;SA-BN;16;11;;;
AMMONIA;SA-BN;SA-BN;16;12;;;
AMMONIA;SA-BN;SA-BN;16;13;;;
AMMONIA;SA-BN;SA-BN;16;14;;;
AMMONIA;SA-BN;SA-BN;16;15;;;
AMMONIA;SA-BN;SA-BN;16;16;;;
AMMONIA;SA-BN;SA-BN;16;17;;;
AMMONIA;SA-BN;SA-BN;16;18;;;
AMMONIA;SA-BN;SA-BN;16;19;;;
AMMONIA;SA-BN;SA-BN;16;20;;;
AMMONIA;SA-BN;SA-BN;16;21;;;
AMMONIA;SA-BN;SA-BN;16;22;;;
AMMONIA;SA-BN;SA-BN;16;23;;;
AMMONIA;SA-BN;SA-BN;16;24;;;
AMMONIA;SA-BN;SA-PA;1;1;;;
AMMONIA;SA-BN;SA-PA;1;2;;;
AMMONIA;SA-BN;SA-PA;1;3;;;
AMMONIA;SA-BN;SA-PA;1;4;;;
AMMONIA;SA-BN;SA-PA;1;5;;;
AMMONIA;SA-BN;SA-PA;1;6;;;
AMMONIA;SA-BN;SA-PA;1;7;;;
AMMONIA;SA-BN;SA-PA;1;8;;;
AMMONIA;SA-BN;SA-PA;1;9;;;
AMMONIA;SA-BN;SA-PA;1;10;;;
AMMONIA;SA-BN;SA-PA;1;11;;;
AMMONIA;SA-BN;SA-PA;1;12;;;
AMMONIA;SA-BN;SA-PA;1;13;;;
AMMONIA;SA-BN;SA-PA;1;14;;;
AMMONIA;SA-BN;SA-PA;1;15;;;
AMMONIA;SA-BN;SA-PA;1;16;;;
AMMONIA;SA-BN;SA-PA;1;17;;;
AMMONIA;SA-BN;SA-PA;1;18;;;
AMMONIA;SA-BN;SA-PA;1;19;;;
AMMONIA;SA-BN;SA-PA;1;20;;;
AMMONIA;SA-BN;SA-PA;1;21;;;
AMMONIA;SA-BN;SA-PA;1;22;;;
AMMONIA;SA-BN;SA-PA;1;23;;;
AMMONIA;SA-BN;SA-PA;1;24;;;
AMMONIA;SA-BN;SA-PA;2;1;;;
AMMONIA;SA-BN;SA-PA;2;2;;;
AMMONIA;SA-BN;SA-PA;2;3;;;
AMMONIA;SA-BN;SA-PA;2;4;;;
AMMONIA;SA-BN;SA-PA;2;5;;;
AMMONIA;SA-BN;SA-PA;2;6;;;
AMMONIA;SA-BN;SA-PA;2;7;;;
AMMONIA;SA-BN;SA-PA;2;8;;;
AMMONIA;SA-BN;SA-PA;2;9;;;
AMMONIA;SA-BN;SA-PA;2;10;;;
AMMONIA;SA-BN;SA-PA;2;11;;;
AMMONIA;SA-BN;SA-PA;2;12;;;
AMMONIA;SA-BN;SA-PA;2;13;;;
AMMONIA;SA-BN;SA-PA;2;14;;;
AMMONIA;SA-BN;SA-PA;2;15;;;
AMMONIA;SA-BN;SA-PA;2;16;;;
AMMONIA;SA-BN;SA-PA;2;17;;;
AMMONIA;SA-BN;SA-PA;2;18;;;
AMMONIA;SA-BN;SA-PA;2;19;;;
AMMONIA;SA-BN;SA-PA;2;20;;;
AMMONIA;SA-BN;SA-PA;2;21;;;
AMMONIA;SA-BN;SA-PA;2;22;;;
AMMONIA;SA-BN;SA-PA;2;23;;;
AMMONIA;SA-BN;SA-PA;2;24;;;
AMMONIA;SA-BN;SA-PA;3;1;;;
AMMONIA;SA-BN;SA-PA;3;2;;;
AMMONIA;SA-BN;SA-PA;3;3;;;
AMMONIA;SA-BN;SA-PA;3;4;;;
AMMONIA;SA-BN;SA-PA;3;5;;;
AMMONIA;SA-BN;SA-PA;3;6;;;
