Regions;Resources;Typical_days;Hours;R_t_exterior
SA-BN;AMMONIA_RE;3;17;0.0
SA-BN;AMMONIA_RE;3;18;0.0
SA-BN;AMMONIA_RE;3;19;0.0
SA-BN;AMMONIA_RE;3;20;0.0
SA-BN;AMMONIA_RE;3;21;0.0
SA-BN;AMMONIA_RE;3;22;0.0
SA-BN;AMMONIA_RE;3;23;0.0
SA-BN;AMMONIA_RE;3;24;0.0
SA-BN;AMMONIA_RE;4;1;0.0
SA-BN;AMMONIA_RE;4;2;0.0
SA-BN;AMMONIA_RE;4;3;0.0
SA-BN;AMMONIA_RE;4;4;0.0
SA-BN;AMMONIA_RE;4;5;0.0
SA-BN;AMMONIA_RE;4;6;0.0
SA-BN;AMMONIA_RE;4;7;0.0
SA-BN;AMMONIA_RE;4;8;0.0
SA-BN;AMMONIA_RE;4;9;0.0
SA-BN;AMMONIA_RE;4;10;0.0
SA-BN;AMMONIA_RE;4;11;0.0
SA-BN;AMMONIA_RE;4;12;0.0
SA-BN;AMMONIA_RE;4;13;0.0
SA-BN;AMMONIA_RE;4;14;0.0
SA-BN;AMMONIA_RE;4;15;0.0
SA-BN;AMMONIA_RE;4;16;0.0
SA-BN;AMMONIA_RE;4;17;0.0
SA-BN;AMMONIA_RE;4;18;0.0
SA-BN;AMMONIA_RE;4;19;0.0
SA-BN;AMMONIA_RE;4;20;0.0
SA-BN;AMMONIA_RE;4;21;0.0
SA-BN;AMMONIA_RE;4;22;0.0
SA-BN;AMMONIA_RE;4;23;0.0
SA-BN;AMMONIA_RE;4;24;0.0
SA-BN;AMMONIA_RE;5;1;0.0
SA-BN;AMMONIA_RE;5;2;0.0
SA-BN;AMMONIA_RE;5;3;0.0
SA-BN;AMMONIA_RE;5;4;0.0
SA-BN;AMMONIA_RE;5;5;0.0
SA-BN;AMMONIA_RE;5;6;0.0
SA-BN;AMMONIA_RE;5;7;0.0
SA-BN;AMMONIA_RE;5;8;0.0
SA-BN;AMMONIA_RE;5;9;0.0
SA-BN;AMMONIA_RE;5;10;0.0
SA-BN;AMMONIA_RE;5;11;0.0
SA-BN;AMMONIA_RE;5;12;0.0
SA-BN;AMMONIA_RE;5;13;0.0
SA-BN;AMMONIA_RE;5;14;0.0
SA-BN;AMMONIA_RE;5;15;0.0
SA-BN;AMMONIA_RE;5;16;0.0
SA-BN;AMMONIA_RE;5;17;0.0
SA-BN;AMMONIA_RE;5;18;0.0
SA-BN;AMMONIA_RE;5;19;0.0
SA-BN;AMMONIA_RE;5;20;0.0
SA-BN;AMMONIA_RE;5;21;0.0
SA-BN;AMMONIA_RE;5;22;0.0
SA-BN;AMMONIA_RE;5;23;0.0
SA-BN;AMMONIA_RE;5;24;0.0
SA-BN;AMMONIA_RE;6;1;0.0
SA-BN;AMMONIA_RE;6;2;0.0
SA-BN;AMMONIA_RE;6;3;0.0
SA-BN;AMMONIA_RE;6;4;0.0
SA-BN;AMMONIA_RE;6;5;0.0
SA-BN;AMMONIA_RE;6;6;0.0
SA-BN;AMMONIA_RE;6;7;0.0
SA-BN;AMMONIA_RE;6;8;0.0
SA-BN;AMMONIA_RE;6;9;0.0
SA-BN;AMMONIA_RE;6;10;0.0
SA-BN;AMMONIA_RE;6;11;0.0
SA-BN;AMMONIA_RE;6;12;0.0
SA-BN;AMMONIA_RE;6;13;0.0
SA-BN;AMMONIA_RE;6;14;0.0
SA-BN;AMMONIA_RE;6;15;0.0
SA-BN;AMMONIA_RE;6;16;0.0
SA-BN;AMMONIA_RE;6;17;0.0
SA-BN;AMMONIA_RE;6;18;0.0
SA-BN;AMMONIA_RE;6;19;0.0
SA-BN;AMMONIA_RE;6;20;0.0
SA-BN;AMMONIA_RE;6;21;0.0
SA-BN;AMMONIA_RE;6;22;0.0
SA-BN;AMMONIA_RE;6;23;0.0
SA-BN;AMMONIA_RE;6;24;0.0
SA-BN;AMMONIA_RE;7;1;0.0
SA-BN;AMMONIA_RE;7;2;0.0
SA-BN;AMMONIA_RE;7;3;0.0
SA-BN;AMMONIA_RE;7;4;0.0
