Resources;From;To;Typical_days;Hours;Exch_exp;Exch_imp;Balance
DIESEL;C1;C1;14;20;;;
DIESEL;C1;C1;14;21;;;
DIESEL;C1;C1;14;22;;;
DIESEL;C1;C1;14;23;;;
DIESEL;C1;C1;14;24;;;
DIESEL;C1;C1;15;1;;;
DIESEL;C1;C1;15;2;;;
DIESEL;C1;C1;15;3;;;
DIESEL;C1;C1;15;4;;;
DIESEL;C1;C1;15;5;;;
DIESEL;C1;C1;15;6;;;
DIESEL;C1;C1;15;7;;;
DIESEL;C1;C1;15;8;;;
DIESEL;C1;C1;15;9;;;
DIESEL;C1;C1;15;10;;;
DIESEL;C1;C1;15;11;;;
DIESEL;C1;C1;15;12;;;
DIESEL;C1;C1;15;13;;;
DIESEL;C1;C1;15;14;;;
DIESEL;C1;C1;15;15;;;
DIESEL;C1;C1;15;16;;;
DIESEL;C1;C1;15;17;;;
DIESEL;C1;C1;15;18;;;
DIESEL;C1;C1;15;19;;;
DIESEL;C1;C1;15;20;;;
DIESEL;C1;C1;15;21;;;
DIESEL;C1;C1;15;22;;;
DIESEL;C1;C1;15;23;;;
DIESEL;C1;C1;15;24;;;
DIESEL;C1;C1;16;1;;;
DIESEL;C1;C1;16;2;;;
DIESEL;C1;C1;16;3;;;
DIESEL;C1;C1;16;4;;;
DIESEL;C1;C1;16;5;;;
DIESEL;C1;C1;16;6;;;
DIESEL;C1;C1;16;7;;;
DIESEL;C1;C1;16;8;;;
DIESEL;C1;C1;16;9;;;
DIESEL;C1;C1;16;10;;;
DIESEL;C1;C1;16;11;;;
DIESEL;C1;C1;16;12;;;
DIESEL;C1;C1;16;13;;;
DIESEL;C1;C1;16;14;;;
DIESEL;C1;C1;16;15;;;
DIESEL;C1;C1;16;16;;;
DIESEL;C1;C1;16;17;;;
DIESEL;C1;C1;16;18;;;
DIESEL;C1;C1;16;19;;;
DIESEL;C1;C1;16;20;;;
DIESEL;C1;C1;16;21;;;
DIESEL;C1;C1;16;22;;;
DIESEL;C1;C1;16;23;;;
DIESEL;C1;C1;16;24;;;
DIESEL;C1;C2;1;1;;;
DIESEL;C1;C2;1;2;;;
DIESEL;C1;C2;1;3;;;
DIESEL;C1;C2;1;4;;;
DIESEL;C1;C2;1;5;;;
DIESEL;C1;C2;1;6;;;
DIESEL;C1;C2;1;7;;;
DIESEL;C1;C2;1;8;;;
DIESEL;C1;C2;1;9;;;
DIESEL;C1;C2;1;10;;;
DIESEL;C1;C2;1;11;;;
DIESEL;C1;C2;1;12;;;
DIESEL;C1;C2;1;13;;;
DIESEL;C1;C2;1;14;;;
DIESEL;C1;C2;1;15;;;
DIESEL;C1;C2;1;16;;;
DIESEL;C1;C2;1;17;;;
DIESEL;C1;C2;1;18;;;
DIESEL;C1;C2;1;19;;;
DIESEL;C1;C2;1;20;;;
DIESEL;C1;C2;1;21;;;
DIESEL;C1;C2;1;22;;;
DIESEL;C1;C2;1;23;;;
DIESEL;C1;C2;1;24;;;
DIESEL;C1;C2;2;1;;;
DIESEL;C1;C2;2;2;;;
DIESEL;C1;C2;2;3;;;
DIESEL;C1;C2;2;4;;;
DIESEL;C1;C2;2;5;;;
DIESEL;C1;C2;2;6;;;
DIESEL;C1;C2;2;7;;;
DIESEL;C1;C2;2;8;;;
DIESEL;C1;C2;2;9;;;
DIESEL;C1;C2;2;10;;;
DIESEL;C1;C2;2;11;;;
DIESEL;C1;C2;2;12;;;
DIESEL;C1;C2;2;13;;;
DIESEL;C1;C2;2;14;;;
DIESEL;C1;C2;2;15;;;
DIESEL;C1;C2;2;16;;;
DIESEL;C1;C2;2;17;;;
DIESEL;C1;C2;2;18;;;
DIESEL;C1;C2;2;19;;;
DIESEL;C1;C2;2;20;;;
DIESEL;C1;C2;2;21;;;
DIESEL;C1;C2;2;22;;;
DIESEL;C1;C2;2;23;;;
DIESEL;C1;C2;2;24;;;
DIESEL;C1;C2;3;1;;;
DIESEL;C1;C2;3;2;;;
DIESEL;C1;C2;3;3;;;
DIESEL;C1;C2;3;4;;;
DIESEL;C1;C2;3;5;;;
DIESEL;C1;C2;3;6;;;
DIESEL;C1;C2;3;7;;;
DIESEL;C1;C2;3;8;;;
DIESEL;C1;C2;3;9;;;
DIESEL;C1;C2;3;10;;;
DIESEL;C1;C2;3;11;;;
DIESEL;C1;C2;3;12;;;
DIESEL;C1;C2;3;13;;;
DIESEL;C1;C2;3;14;;;
DIESEL;C1;C2;3;15;;;
DIESEL;C1;C2;3;16;;;
DIESEL;C1;C2;3;17;;;
DIESEL;C1;C2;3;18;;;
DIESEL;C1;C2;3;19;;;
DIESEL;C1;C2;3;20;;;
DIESEL;C1;C2;3;21;;;
