Regions;Elements;C_inv;C_maint;C_op
C1;CAR_DIESEL_PUBLIC;;;
C1;BUS_DIESEL_PUBLIC;;;
C1;PICKUP_TRUCK_DIESEL_PUBLIC;;;
C1;SUV_DIESEL_PUBLIC;;;
C1;MOTORCYCLE_DIESEL_PUBLIC;;;
C1;TRUCK_FG;;;
C1;VAN_FG;;;
C1;CARGO_MOTORCYCLE_FG;;;
C1;TRUCK_GASOLINE;;;
C1;VAN_GASOLINE;;;
C1;CARGO_MOTORCYCLE_GASOLINE;;;
C1;TRUCK_DIESEL_P;;;
C1;VAN_DIESEL;;;
C1;CARGO_MOTORCYCLE_DIESEL;;;
C1;CONVENTIONAL_BULB;3.179025645392176e-05;;
C1;LED_BULB;3.311453657752568e-05;;
C1;CONVENTIONAL_LIGHT;0.0017343962674516396;0.00641365294863667;
C1;LED_LIGHT;0.00021970983159427853;0.0002663375451148704;
C1;REFRIGERATOR_EL;;;
C1;COMM_MACHINERY_DIESEL;2.6025045914690435e-05;3.553400074368806e-06;
C1;COMM_MACHINERY_EL;2.6549610147183465e-05;2.713505864720709e-06;
C1;IND_MACHINERY_EL;;;
C1;TRACTOR_DIESEL;;;
C1;AGR_MACHINERY_DIESEL;;;
C1;AGR_MACHINERY_EL;;;
C1;MIN_MACHINERY_DIESEL;;;
C1;MIN_MACHINERY_EL;;;
C1;FISH_MACHINERY_DIESEL;;6.810470409799395e-05;
C1;FISH_MACHINERY_EL;;4.798100836611391e-05;
C1;TRACTOR_EL;;;
C1;BUS_ELEC_PUBLIC;;;
C1;BUS_ELEC_PRIVATE;;;
C1;PICKUP_TRUCK_ELEC_PUBLIC;;;
C1;PICKUP_TRUCK_ELEC_PRIVATE;;;
C1;SUV_ELEC_PUBLIC;;;
C1;SUV_ELEC_PRIVATE;;;
C1;MOTORCYCLE_ELEC_PUBLIC;;;
C1;MOTORCYCLE_ELEC_PRIVATE;;;
C1;VAN_ELEC;;;
C1;CARGO_MOTORCYCLE_ELEC;;;
C1;TRAIN_FREIGHT_ELEC;;;
C1;BOAT_FREIGHT_ELEC;;;
C1;FUEL_CELL;;;
C1;ETHANOL_TO_FUELS;;;
C1;BIO_HYDROLYSIS;;;
C1;PYROLYSIS_TO_FUELS;;;
C1;PYROLYSIS_TO_LFO;;;
C1;FB_ST_BIOMASS;;;
C1;CFB_ST_BIOMASS;;;
C1;BFB_ST_BIOMASS;;;
C1;REGASIFICATION;0.000125913756246699;2.285846868602897e-05;
C1;LIQUEFACTION;;;
C1;DIESEL_PIPELINE;;;
C1;GASOLINE_PIPELINE;;;
C1;LPG_PIPELINE;;;
C1;LFO_PIPELINE;;;
C1;JET_FUEL_PIPELINE;;;
C1;SUV_ELEC_PRIVATE_BATT;;;
C1;MOTORCYCLE_ELEC_PRIVATE_BATT;;;
C1;BUS_ELEC_PUBLIC_BATT;;;
C1;ELECTRICITY;;;0.6874423364373363
C1;GASOLINE;;;
C1;DIESEL;;;0.5663791078702031
C1;GASOLINE_RE;;;
C1;DIESEL_RE;;;
C1;LFO;;;
C1;LFO_RE;;;
C1;JET_FUEL;;;
C1;JET_FUEL_RE;;;
C1;GAS;;;
C1;GAS_RE;;;
C1;WOOD;;;5.20754860670627e-05
C1;WET_BIOMASS;;;
C1;ENERGY_CROPS_2;;;
C1;BIOWASTE;;;
C1;BIOMASS_RESIDUES;;;
C1;COAL;;;
C1;URANIUM;;;
C1;WASTE;;;
C1;H2;;;
C1;H2_RE;;;
C1;AMMONIA;;;
C1;METHANOL;;;
C1;AMMONIA_RE;;;
C1;METHANOL_RE;;;
C1;CO2_EMISSIONS;;;
C1;RES_WIND;;;
C1;RES_SOLAR;;;
C1;RES_HYDRO;;;
C1;RES_GEO;;;
C1;CO2_ATM;;;
C1;CO2_INDUSTRY;;;
C1;CO2_CAPTURED;;;
C1;PT_HEAT;;;
C1;ST_HEAT;;;
C1;LPG;;;0.5417183837972263
C1;LNG;;;0.0001597853121003366
C1;CO2_EMISSIONS_CAPTURED;;;
C1;CO2_EMISSIONS_ATM;;;
C2;NUCLEAR;;;
C2;NUCLEAR_SMR;;;
C2;CCGT_AMMONIA;;;
C2;COAL_US;;;
C2;COAL_IGCC;;;
C2;BIOMASS_TO_POWER;;;
C2;PV_ROOFTOP;;;
C2;PV_UTILITY;0.00257703056821814;0.0006596024898789643;
C2;PV_HS;0.0009665797293349846;3.714299676161311e-05;
C2;PT_COLLECTOR;;;
C2;ST_COLLECTOR;;;
C2;PT_POWER_BLOCK;;;
C2;ST_POWER_BLOCK;;;
C2;WIND_ONSHORE;;;
C2;WIND_OFFSHORE;;;
C2;HYDRO_DAM;;;
C2;HYDRO_RIVER;;;
C2;TIDAL_STREAM;;;
C2;TIDAL_RANGE;;;
C2;WAVE;;;
C2;GEOTHERMAL;;;
C2;GENSET_DIESEL;3.3020042280174166e-05;4.669158034936983e-06;
C2;HS_DIESEL;1.757166445079446e-05;5.333014791734132e-05;
C2;OCGT;;;
C2;CCGT;;;
C2;ST_BIOMASS;;;
C2;ST_SNG;;;
C2;CCGT_SUR;;;
C2;IND_COGEN_GAS;;;
C2;IND_COGEN_WOOD;;;
C2;IND_COGEN_WASTE;;;
C2;IND_BOILER_GAS;;;
C2;IND_BOILER_WOOD;;7.564672274804575e-05;
C2;IND_BOILER_BIOWASTE;;;
C2;IND_BOILER_OIL;;9.062842704727686e-06;
C2;IND_BOILER_COAL;;;
C2;IND_BOILER_WASTE;;;
C2;IND_DIRECT_ELEC;;;
C2;DHN_HP_ELEC;;;
C2;DHN_COGEN_GAS;;;
C2;DHN_COGEN_WOOD;;;
C2;DHN_COGEN_WASTE;;;
C2;DHN_BOILER_GAS;;;
C2;DHN_BOILER_WOOD;;;
C2;DHN_BOILER_OIL;;;
C2;DHN_DEEP_GEO;;;
C2;DHN_SOLAR;;;
C2;DEC_HP_ELEC;;;
C2;DEC_THHP_GAS;;;
C2;DEC_COGEN_GAS;;;
C2;DEC_COGEN_OIL;;;
C2;DEC_ADVCOGEN_GAS;;;
C2;DEC_ADVCOGEN_H2;;;
C2;DEC_BOILER_GAS;4.833759622129566e-05;1.308936981822055e-05;
C2;DEC_BOILER_WOOD;;;
C2;DEC_BOILER_OIL;;;
C2;DEC_SOLAR;0.037325076328841376;0.00375907336208271;
C2;DEC_DIRECT_ELEC;0.0003766384804345056;1.451972582504611e-05;
C2;DEC_ELEC_COLD;0.003202645162503736;0.001147471211641356;
