Regions;Elements;C_inv;C_maint;C_op
SA-PA;STOVE_WOOD;;;
SA-PA;STOVE_LPG;0.10842313681096885;0.02563841476976886;
SA-PA;STOVE_NG;;;
SA-PA;STOVE_OIL;;;
SA-PA;STOVE_ELEC;;;
SA-PA;PLANE;;;
SA-PA;FERMENTATION_TO_BIOETHANOL;;;
SA-PA;ESTERIFICATION_TO_BIODIESEL;;;
SA-PA;IND_BOILER_DIESEL;;;
SA-PA;IND_BOILER_LPG;;;
SA-PA;LPG_STORAGE;;;
SA-PA;LNG_STORAGE;;;
SA-PA;CAR_FG_PRIVATE;;;
SA-PA;BUS_FG_PRIVATE;;;
SA-PA;PICKUP_TRUCK_FG_PRIVATE;;;
SA-PA;SUV_FG_PRIVATE;;;
SA-PA;MOTORCYCLE_FG_PRIVATE;;;
SA-PA;CAR_FG_PUBLIC;;;
SA-PA;BUS_FG_PUBLIC;;;
SA-PA;PICKUP_TRUCK_FG_PUBLIC;;;
SA-PA;SUV_FG_PUBLIC;;;
SA-PA;MOTORCYCLE_FG_PUBLIC;;;
SA-PA;CAR_GASOLINE_PRIVATE;;;
SA-PA;BUS_GASOLINE_PRIVATE;;;
SA-PA;PICKUP_TRUCK_GASOLINE_PRIVATE;;;
SA-PA;SUV_GASOLINE_PRIVATE;;;
SA-PA;MOTORCYCLE_GASOLINE_PRIVATE;;;
SA-PA;CAR_GASOLINE_PUBLIC;;;
SA-PA;BUS_GASOLINE_PUBLIC;;;
SA-PA;PICKUP_TRUCK_GASOLINE_PUBLIC;;;
SA-PA;SUV_GASOLINE_PUBLIC;;;
SA-PA;MOTORCYCLE_GASOLINE_PUBLIC;;;
SA-PA;CAR_DIESEL_PRIVATE;;;
SA-PA;BUS_DIESEL_PRIVATE;;;
SA-PA;PICKUP_TRUCK_DIESEL_PRIVATE;;;
SA-PA;SUV_DIESEL_PRIVATE;;;
SA-PA;MOTORCYCLE_DIESEL_PRIVATE;;;
SA-PA;CAR_DIESEL_PUBLIC;;;
SA-PA;BUS_DIESEL_PUBLIC;;;
SA-PA;PICKUP_TRUCK_DIESEL_PUBLIC;;;
SA-PA;SUV_DIESEL_PUBLIC;;;
SA-PA;MOTORCYCLE_DIESEL_PUBLIC;;;
SA-PA;TRUCK_FG;;;
SA-PA;VAN_FG;;;
SA-PA;CARGO_MOTORCYCLE_FG;;;
SA-PA;TRUCK_GASOLINE;;;
SA-PA;VAN_GASOLINE;;;
SA-PA;CARGO_MOTORCYCLE_GASOLINE;;;
SA-PA;TRUCK_DIESEL_P;;;
SA-PA;VAN_DIESEL;;;
SA-PA;CARGO_MOTORCYCLE_DIESEL;;;
SA-PA;CONVENTIONAL_BULB;;;
SA-PA;LED_BULB;;;
SA-PA;CONVENTIONAL_LIGHT;0.07163206492957883;0.3341976437770508;
SA-PA;LED_LIGHT;;;
SA-PA;REFRIGERATOR_EL;;;
SA-PA;COMM_MACHINERY_DIESEL;;;
SA-PA;COMM_MACHINERY_EL;;;
SA-PA;IND_MACHINERY_EL;;;
SA-PA;TRACTOR_DIESEL;;;
SA-PA;AGR_MACHINERY_DIESEL;;;
SA-PA;AGR_MACHINERY_EL;;;
SA-PA;MIN_MACHINERY_DIESEL;;;
SA-PA;MIN_MACHINERY_EL;;;
SA-PA;FISH_MACHINERY_DIESEL;;;
SA-PA;FISH_MACHINERY_EL;;;
SA-PA;TRACTOR_EL;;;
SA-PA;BUS_ELEC_PUBLIC;;;
SA-PA;BUS_ELEC_PRIVATE;;;
SA-PA;PICKUP_TRUCK_ELEC_PUBLIC;;;
SA-PA;PICKUP_TRUCK_ELEC_PRIVATE;;;
SA-PA;SUV_ELEC_PUBLIC;;;
SA-PA;SUV_ELEC_PRIVATE;;;
SA-PA;MOTORCYCLE_ELEC_PUBLIC;;;
SA-PA;MOTORCYCLE_ELEC_PRIVATE;;;
SA-PA;VAN_ELEC;;;
SA-PA;CARGO_MOTORCYCLE_ELEC;;;
SA-PA;TRAIN_FREIGHT_ELEC;;;
SA-PA;BOAT_FREIGHT_ELEC;;;
SA-PA;FUEL_CELL;;;
SA-PA;ETHANOL_TO_FUELS;;;
SA-PA;BIO_HYDROLYSIS;;;
SA-PA;PYROLYSIS_TO_FUELS;;;
