Regions;Resources;Typical_days;Hours;R_t_local
C1;AMMONIA_RE;7;10;0.0
C1;AMMONIA_RE;7;11;0.0
C1;AMMONIA_RE;7;12;0.0
C1;AMMONIA_RE;7;13;0.0
C1;AMMONIA_RE;7;14;0.0
C1;AMMONIA_RE;7;15;0.0
C1;AMMONIA_RE;7;16;0.0
C1;AMMONIA_RE;7;17;0.0
C1;AMMONIA_RE;7;18;0.0
C1;AMMONIA_RE;7;19;0.0
C1;AMMONIA_RE;7;20;0.0
C1;AMMONIA_RE;7;21;0.0
C1;AMMONIA_RE;7;22;0.0
C1;AMMONIA_RE;7;23;0.0
C1;AMMONIA_RE;7;24;0.0
C1;AMMONIA_RE;8;1;0.0
C1;AMMONIA_RE;8;2;0.0
C1;AMMONIA_RE;8;3;0.0
C1;AMMONIA_RE;8;4;0.0
C1;AMMONIA_RE;8;5;0.0
C1;AMMONIA_RE;8;6;0.0
C1;AMMONIA_RE;8;7;0.0
C1;AMMONIA_RE;8;8;0.0
C1;AMMONIA_RE;8;9;0.0
C1;AMMONIA_RE;8;10;0.0
C1;AMMONIA_RE;8;11;0.0
C1;AMMONIA_RE;8;12;0.0
C1;AMMONIA_RE;8;13;0.0
C1;AMMONIA_RE;8;14;0.0
C1;AMMONIA_RE;8;15;0.0
C1;AMMONIA_RE;8;16;0.0
C1;AMMONIA_RE;8;17;0.0
C1;AMMONIA_RE;8;18;0.0
C1;AMMONIA_RE;8;19;0.0
C1;AMMONIA_RE;8;20;0.0
C1;AMMONIA_RE;8;21;0.0
C1;AMMONIA_RE;8;22;0.0
C1;AMMONIA_RE;8;23;0.0
C1;AMMONIA_RE;8;24;0.0
C1;AMMONIA_RE;9;1;0.0
C1;AMMONIA_RE;9;2;0.0
C1;AMMONIA_RE;9;3;0.0
C1;AMMONIA_RE;9;4;0.0
C1;AMMONIA_RE;9;5;0.0
C1;AMMONIA_RE;9;6;0.0
C1;AMMONIA_RE;9;7;0.0
C1;AMMONIA_RE;9;8;0.0
C1;AMMONIA_RE;9;9;0.0
C1;AMMONIA_RE;9;10;0.0
C1;AMMONIA_RE;9;11;0.0
C1;AMMONIA_RE;9;12;0.0
C1;AMMONIA_RE;9;13;0.0
C1;AMMONIA_RE;9;14;0.0
C1;AMMONIA_RE;9;15;0.0
C1;AMMONIA_RE;9;16;0.0
C1;AMMONIA_RE;9;17;0.0
C1;AMMONIA_RE;9;18;0.0
C1;AMMONIA_RE;9;19;0.0
C1;AMMONIA_RE;9;20;0.0
C1;AMMONIA_RE;9;21;0.0
C1;AMMONIA_RE;9;22;0.0
C1;AMMONIA_RE;9;23;0.0
C1;AMMONIA_RE;9;24;0.0
C1;AMMONIA_RE;10;1;0.0
C1;AMMONIA_RE;10;2;0.0
C1;AMMONIA_RE;10;3;0.0
C1;AMMONIA_RE;10;4;0.0
C1;AMMONIA_RE;10;5;0.0
C1;AMMONIA_RE;10;6;0.0
C1;AMMONIA_RE;10;7;0.0
C1;AMMONIA_RE;10;8;0.0
C1;AMMONIA_RE;10;9;0.0
C1;AMMONIA_RE;10;10;0.0
C1;AMMONIA_RE;10;11;0.0
C1;AMMONIA_RE;10;12;0.0
C1;AMMONIA_RE;10;13;0.0
C1;AMMONIA_RE;10;14;0.0
C1;AMMONIA_RE;10;15;0.0
C1;AMMONIA_RE;10;16;0.0
C1;AMMONIA_RE;10;17;0.0
C1;AMMONIA_RE;10;18;0.0
C1;AMMONIA_RE;10;19;0.0
C1;AMMONIA_RE;10;20;0.0
C1;AMMONIA_RE;10;21;0.0
C1;AMMONIA_RE;10;22;0.0
C1;AMMONIA_RE;10;23;0.0
C1;AMMONIA_RE;10;24;0.0
C1;AMMONIA_RE;11;1;0.0
C1;AMMONIA_RE;11;2;0.0
C1;AMMONIA_RE;11;3;0.0
C1;AMMONIA_RE;11;4;0.0
C1;AMMONIA_RE;11;5;0.0
C1;AMMONIA_RE;11;6;0.0
C1;AMMONIA_RE;11;7;0.0
C1;AMMONIA_RE;11;8;0.0
C1;AMMONIA_RE;11;9;0.0
C1;AMMONIA_RE;11;10;0.0
C1;AMMONIA_RE;11;11;0.0
C1;AMMONIA_RE;11;12;0.0
C1;AMMONIA_RE;11;13;0.0
C1;AMMONIA_RE;11;14;0.0
C1;AMMONIA_RE;11;15;0.0
C1;AMMONIA_RE;11;16;0.0
C1;AMMONIA_RE;11;17;0.0
C1;AMMONIA_RE;11;18;0.0
C1;AMMONIA_RE;11;19;0.0
C1;AMMONIA_RE;11;20;0.0
C1;AMMONIA_RE;11;21;0.0
C1;AMMONIA_RE;11;22;0.0
C1;AMMONIA_RE;11;23;0.0
C1;AMMONIA_RE;11;24;0.0
C1;AMMONIA_RE;12;1;0.0
C1;AMMONIA_RE;12;2;0.0
C1;AMMONIA_RE;12;3;0.0
C1;AMMONIA_RE;12;4;0.0
C1;AMMONIA_RE;12;5;0.0
C1;AMMONIA_RE;12;6;0.0
C1;AMMONIA_RE;12;7;0.0
C1;AMMONIA_RE;12;8;0.0
C1;AMMONIA_RE;12;9;0.0
C1;AMMONIA_RE;12;10;0.0
C1;AMMONIA_RE;12;11;0.0
C1;AMMONIA_RE;12;12;0.0
C1;AMMONIA_RE;12;13;0.0
C1;AMMONIA_RE;12;14;0.0
C1;AMMONIA_RE;12;15;0.0
C1;AMMONIA_RE;12;16;0.0
C1;AMMONIA_RE;12;17;0.0
C1;AMMONIA_RE;12;18;0.0
C1;AMMONIA_RE;12;19;0.0
C1;AMMONIA_RE;12;20;0.0
C1;AMMONIA_RE;12;21;0.0
C1;AMMONIA_RE;12;22;0.0
C1;AMMONIA_RE;12;23;0.0
C1;AMMONIA_RE;12;24;0.0
C1;AMMONIA_RE;13;1;0.0
C1;AMMONIA_RE;13;2;0.0
C1;AMMONIA_RE;13;3;0.0
C1;AMMONIA_RE;13;4;0.0
C1;AMMONIA_RE;13;5;0.0
C1;AMMONIA_RE;13;6;0.0
C1;AMMONIA_RE;13;7;0.0
C1;AMMONIA_RE;13;8;0.0
C1;AMMONIA_RE;13;9;0.0
C1;AMMONIA_RE;13;10;0.0
C1;AMMONIA_RE;13;11;0.0
C1;AMMONIA_RE;13;12;0.0
C1;AMMONIA_RE;13;13;0.0
C1;AMMONIA_RE;13;14;0.0
C1;AMMONIA_RE;13;15;0.0
C1;AMMONIA_RE;13;16;0.0
C1;AMMONIA_RE;13;17;0.0
C1;AMMONIA_RE;13;18;0.0
C1;AMMONIA_RE;13;19;0.0
C1;AMMONIA_RE;13;20;0.0
C1;AMMONIA_RE;13;21;0.0
C1;AMMONIA_RE;13;22;0.0
C1;AMMONIA_RE;13;23;0.0
C1;AMMONIA_RE;13;24;0.0
C1;AMMONIA_RE;14;1;0.0
C1;AMMONIA_RE;14;2;0.0
C1;AMMONIA_RE;14;3;0.0
C1;AMMONIA_RE;14;4;0.0
C1;AMMONIA_RE;14;5;0.0
C1;AMMONIA_RE;14;6;0.0
C1;AMMONIA_RE;14;7;0.0
C1;AMMONIA_RE;14;8;0.0
C1;AMMONIA_RE;14;9;0.0
C1;AMMONIA_RE;14;10;0.0
C1;AMMONIA_RE;14;11;0.0
C1;AMMONIA_RE;14;12;0.0
C1;AMMONIA_RE;14;13;0.0
C1;AMMONIA_RE;14;14;0.0
C1;AMMONIA_RE;14;15;0.0
C1;AMMONIA_RE;14;16;0.0
C1;AMMONIA_RE;14;17;0.0
C1;AMMONIA_RE;14;18;0.0
C1;AMMONIA_RE;14;19;0.0
C1;AMMONIA_RE;14;20;0.0
