Regions;Technologies;Typical_days;Hours;F_t
C1;AGR_MACHINERY_DIESEL;15;2;0.0
C1;AGR_MACHINERY_DIESEL;15;3;0.0
C1;AGR_MACHINERY_DIESEL;15;4;0.0
C1;AGR_MACHINERY_DIESEL;15;5;0.0
C1;AGR_MACHINERY_DIESEL;15;6;0.0
C1;AGR_MACHINERY_DIESEL;15;7;0.0
C1;AGR_MACHINERY_DIESEL;15;8;0.0
C1;AGR_MACHINERY_DIESEL;15;9;0.0
C1;AGR_MACHINERY_DIESEL;15;10;0.0
C1;AGR_MACHINERY_DIESEL;15;11;0.0
C1;AGR_MACHINERY_DIESEL;15;12;0.0
C1;AGR_MACHINERY_DIESEL;15;13;0.0
C1;AGR_MACHINERY_DIESEL;15;14;0.0
C1;AGR_MACHINERY_DIESEL;15;15;0.0
C1;AGR_MACHINERY_DIESEL;15;16;0.0
C1;AGR_MACHINERY_DIESEL;15;17;0.0
C1;AGR_MACHINERY_DIESEL;15;18;0.0
C1;AGR_MACHINERY_DIESEL;15;19;0.0
C1;AGR_MACHINERY_DIESEL;15;20;0.0
C1;AGR_MACHINERY_DIESEL;15;21;0.0
C1;AGR_MACHINERY_DIESEL;15;22;0.0
C1;AGR_MACHINERY_DIESEL;15;23;0.0
C1;AGR_MACHINERY_DIESEL;15;24;0.0
C1;AGR_MACHINERY_DIESEL;16;1;0.0
C1;AGR_MACHINERY_DIESEL;16;2;0.0
C1;AGR_MACHINERY_DIESEL;16;3;0.0
C1;AGR_MACHINERY_DIESEL;16;4;0.0
C1;AGR_MACHINERY_DIESEL;16;5;0.0
C1;AGR_MACHINERY_DIESEL;16;6;0.0
C1;AGR_MACHINERY_DIESEL;16;7;0.0
C1;AGR_MACHINERY_DIESEL;16;8;0.0
C1;AGR_MACHINERY_DIESEL;16;9;0.0
C1;AGR_MACHINERY_DIESEL;16;10;0.0
C1;AGR_MACHINERY_DIESEL;16;11;0.0
C1;AGR_MACHINERY_DIESEL;16;12;0.0
C1;AGR_MACHINERY_DIESEL;16;13;0.0
C1;AGR_MACHINERY_DIESEL;16;14;0.0
