param : 	c_inv	c_maint	gwp_constr	lifetime	c_p	fmin_perc	fmax_perc	f_min	f_max := 
SA-BN	MOTORCYCLE_FG_PRIVATE	43.78260167	2.6269561	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	CAR_FG_PUBLIC	315.1175424	18.90705254	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	BUS_FG_PUBLIC	220.8150238	11.04075119	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_FG_PUBLIC	543.3648433	32.6018906	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	SUV_FG_PUBLIC	478.6379968	28.71827981	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	MOTORCYCLE_FG_PUBLIC	43.78260167	2.6269561	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	CAR_GASOLINE_PRIVATE	301.4908378	18.08945027	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	BUS_GASOLINE_PRIVATE	209.8512498	10.49256249	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_GASOLINE_PRIVATE	529.7381388	31.78428833	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	SUV_GASOLINE_PRIVATE	465.0112923	27.90067754	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	MOTORCYCLE_GASOLINE_PRIVATE	26.61295396	1.59677724	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	CAR_GASOLINE_PUBLIC	301.4908378	18.08945027	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	BUS_GASOLINE_PUBLIC	209.8512498	10.49256249	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_GASOLINE_PUBLIC	529.7381388	31.78428833	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	SUV_GASOLINE_PUBLIC	465.0112923	27.90067754	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	MOTORCYCLE_GASOLINE_PUBLIC	26.61295396	1.59677724	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	CAR_DIESEL_PRIVATE	301.4908378	18.08945027	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	BUS_DIESEL_PRIVATE	209.8512498	10.49256249	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_DIESEL_PRIVATE	529.7381388	31.78428833	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	SUV_DIESEL_PRIVATE	465.0112923	27.90067754	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	MOTORCYCLE_DIESEL_PRIVATE	26.61295396	1.59677724	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	CAR_DIESEL_PUBLIC	301.4908378	18.08945027	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	BUS_DIESEL_PUBLIC	209.8512498	10.49256249	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_DIESEL_PUBLIC	529.7381388	31.78428833	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	SUV_DIESEL_PUBLIC	465.0112923	27.90067754	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	MOTORCYCLE_DIESEL_PUBLIC	26.61295396	1.59677724	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	TRUCK_FG	250.4310952	12.52155476	0.0	15	0.01805556	0.0	1.0	0.0	0.0
SA-BN	VAN_FG	532.9439084	31.9766345	0.0	10	0.0203125	0.0	1.0	0.0	0.0
SA-BN	CARGO_MOTORCYCLE_FG	85.41899738	5.12513984	0.0	10	0.01075	0.0	1.0	0.0	0.0
SA-BN	TRUCK_GASOLINE	245.90751	12.2953755	0.0	15	0.01805556	0.0	1.0	0.0	Infinity
SA-BN	VAN_GASOLINE	513.3773583	30.8026415	0.0	10	0.0203125	0.0	1.0	0.0	0.0
SA-BN	CARGO_MOTORCYCLE_GASOLINE	51.07970195	3.06478212	0.0	10	0.01075	0.0	1.0	0.0	0.0
SA-BN	TRUCK_DIESEL_P	245.90751	12.2953755	0.0	15	0.01805556	0.0	1.0	0.0	Infinity
SA-BN	VAN_DIESEL	513.3773583	30.8026415	0.0	10	0.0203125	0.0	1.0	0.0	0.0
SA-BN	CARGO_MOTORCYCLE_DIESEL	51.07970195	3.06478212	0.0	10	0.01075	0.0	1.0	0.0	0.0
SA-BN	CONVENTIONAL_BULB	0.1444041	0.0	0.0	5	1.0	0.220602273	0.787865261	0.0	Infinity
SA-BN	LED_BULB	0.60161002	0.0	0.0	10	1.0	0.059397727	0.212134739	0.0	Infinity
SA-BN	CONVENTIONAL_LIGHT	1598.242939	1559.087767	0.0	5	1.0	0.0	1.0	0.0	Infinity
SA-BN	LED_LIGHT	2187.69928	431.5978112	0.0	10	1.0	0.0	1.0	0.0	0.0
SA-BN	REFRIGERATOR_EL	5.96e-05	0.0	0.0	15	1.0	0.0	1.0	0.0	0.0
SA-BN	COMM_MACHINERY_DIESEL	0.08519203	0.00127788	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	COMM_MACHINERY_EL	0.06278883	0.00094183	0.0	12	1.0	0.0	1.0	0.0	0.0
SA-BN	IND_MACHINERY_EL	0.06278883	0.00094183	0.0	17	1.0	0.0	1.0	0.0	0.0
SA-BN	TRACTOR_DIESEL	0.321277296	0.01606386	0.0	15	1.0	0.0	1.0	0.0	0.0
SA-BN	AGR_MACHINERY_DIESEL	0.14693009	0.00220395	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	AGR_MACHINERY_EL	0.19650578	0.00294759	0.0	12	1.0	0.0	1.0	0.0	0.0
SA-BN	MIN_MACHINERY_DIESEL	0.08519203	0.00127788	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	MIN_MACHINERY_EL	0.06278883	0.00094183	0.0	17	1.0	0.0	1.0	0.0	0.0
SA-BN	FISH_MACHINERY_DIESEL	0.08519203	0.00127788	0.0	25	1.0	0.0	1.0	0.0	0.0
SA-BN	FISH_MACHINERY_EL	0.06278883	0.00094183	0.0	12	1.0	0.0	1.0	0.0	0.0
SA-BN	TRACTOR_EL	1.34690901	0.06734545	0.0	15	1.0	0.0	1.0	0.0	0.0
SA-BN	BUS_ELEC_PUBLIC	438.779886	8.77559772	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	BUS_ELEC_PRIVATE	438.779886	8.77559772	0.0	15	0.48372222	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_ELEC_PUBLIC	0.0	0.0	0.0	10	0.0	0.0	1.0	0.0	0.0
SA-BN	PICKUP_TRUCK_ELEC_PRIVATE	0.0	0.0	0.0	10	0.0	0.0	1.0	0.0	0.0
SA-BN	SUV_ELEC_PUBLIC	613.66	10.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	SUV_ELEC_PRIVATE	613.66	10.0	0.0	10	0.1343125	0.0	1.0	0.0	0.0
SA-BN	MOTORCYCLE_ELEC_PUBLIC	64.48039933	1.28960799	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	MOTORCYCLE_ELEC_PRIVATE	64.48039933	1.28960799	0.0	10	0.01989583	0.0	1.0	0.0	0.0
SA-BN	VAN_ELEC	0.0	0.0	0.0	10	0.0	0.0	1.0	0.0	0.0
SA-BN	CARGO_MOTORCYCLE_ELEC	229.6440382	4.59288076	0.0	10	0.0203125	0.0	1.0	0.0	0.0
SA-BN	TRAIN_FREIGHT_ELEC	104.42	2.088311688	0.0	40	0.342465753	0.0	1.0	0.0	0.0
SA-BN	BOAT_FREIGHT_ELEC	216.72	0.381944444	0.0	40	0.114155251	0.0	1.0	0.0	0.0
